"lambda","accuracy_score","roc_score","n"
0.0264067275928218,0.949152542372881,0.953125,1
0.00534455788745955,0.898305084745763,0.901497695852535,2
0.00284151615263877,0.847457627118644,0.872435897435897,3
0.00198720832086327,0.830508474576271,0.837962962962963,4
0.0028131352747705,0.949152542372881,0.946428571428571,5
0.0134302851925959,0.932203389830508,0.927156177156177,6
0.0175800045080482,0.88135593220339,0.897058823529412,7
0.00243973914421145,0.915254237288136,0.924242424242424,8
0.00915699310004271,0.88135593220339,0.876157407407407,9
0.00761187178686793,0.949152542372881,0.948275862068966,10
0.00268186772666329,0.864406779661017,0.86405529953917,11
0.012732551012044,0.966101694915254,0.967741935483871,12
0.00329651413740359,0.847457627118644,0.857058823529412,13
0.0133082487508536,0.830508474576271,0.815850815850816,14
0.0155224385032859,0.932203389830508,0.923214285714286,15
0.0167427531596251,0.847457627118644,0.850694444444444,16
0.0196202516403317,0.830508474576271,0.853260869565217,17
0.00930435871996274,0.932203389830508,0.932183908045977,18
0.0299007466429724,0.915254237288136,0.916666666666667,19
0.0206780129781276,0.88135593220339,0.854166666666667,20
0.0134420133437712,0.88135593220339,0.890625,21
0.00567463432086938,0.88135593220339,0.890625,22
0.006697390897178,0.932203389830508,0.9375,23
0.0100242233279134,0.949152542372881,0.946386946386946,24
0.00337884818553764,0.932203389830508,0.939393939393939,25
0.0112673148785965,0.830508474576271,0.835069444444444,26
0.0104862127124941,0.88135593220339,0.875882352941176,27
0.00459519558627269,0.966101694915254,0.966666666666667,28
0.00279282487715494,0.847457627118644,0.842741935483871,29
0.0053048169599093,0.966101694915254,0.958333333333333,30
0.00188442703083461,0.932203389830508,0.931235431235431,31
0.00258428861188849,0.915254237288136,0.921875,32
0.00736868424712875,0.88135593220339,0.893452380952381,33
0.0328747683589087,0.847457627118644,0.850694444444444,34
0.0220193195601849,0.847457627118644,0.847701149425287,35
0.0024948667004642,0.932203389830508,0.932758620689655,36
0.00290697789361564,0.847457627118644,0.869164619164619,37
0.0151435064139531,0.813559322033898,0.813793103448276,38
0.0312377340730343,0.898305084745763,0.897701149425287,39
0.0156255786925328,0.949152542372881,0.950231481481482,40
0.00861553796775063,0.864406779661017,0.860532407407407,41
0.0116877186709661,0.932203389830508,0.925294117647059,42
0.0020913704703835,0.830508474576271,0.831609195402299,43
0.0224999250850303,0.949152542372881,0.95,44
0.00843867390628917,0.830508474576271,0.831034482758621,45
0.0132197568009837,0.932203389830508,0.935314685314685,46
0.00514900160087408,0.864406779661017,0.855882352941176,47
0.00201482740075375,0.966101694915254,0.956521739130435,48
0.00260561827857911,0.932203389830508,0.939393939393939,49
0.0125987170242527,0.813559322033898,0.812937062937063,50
0.0262088172938685,0.813559322033898,0.810483870967742,51
0.00620886702260801,0.88135593220339,0.876157407407407,52
0.00250001285390308,0.88135593220339,0.882183908045977,53
0.00205452380065406,0.847457627118644,0.847800925925926,54
0.0341940704970023,0.847457627118644,0.850694444444444,55
0.00214066723829843,0.949152542372881,0.948275862068966,56
0.00198458130794613,0.932203389830508,0.931609195402299,57
0.0101053165062019,0.847457627118644,0.839285714285714,58
0.01186254464701,0.932203389830508,0.928571428571429,59
0.00298152568496485,0.898305084745763,0.90625,60
0.0173934163963061,0.898305084745763,0.898275862068965,61
0.00471390567069976,0.898305084745763,0.916666666666667,62
0.00208286984578719,0.88135593220339,0.897058823529412,63
0.0128422999423161,0.915254237288136,0.916091954022989,64
0.0105586088295468,0.983050847457627,0.983333333333333,65
0.0169809904871293,0.915254237288136,0.92016317016317,66
0.00237228915611675,0.915254237288136,0.913194444444444,67
0.00341033379824847,0.932203389830508,0.928571428571429,68
0.0173004137084959,0.898305084745763,0.901497695852535,69
0.017763457418643,0.847457627118644,0.845977011494253,70
0.0178857862207494,0.796610169491525,0.82548309178744,71
0.00624746716125439,0.898305084745763,0.897126436781609,72
0.0202671509243199,0.813559322033898,0.813793103448276,73
0.0277287133693519,0.915254237288136,0.918981481481481,74
0.00725464209097215,0.932203389830508,0.932027649769585,75
0.0141289906831154,0.898305084745763,0.911764705882353,76
0.00415745769684199,0.847457627118644,0.841013824884793,77
0.00669618637799916,0.898305084745763,0.898041474654378,78
0.00448385788048927,0.88135593220339,0.876157407407407,79
0.00861780980512848,0.949152542372881,0.947337962962963,80
0.0164875805122424,0.983050847457627,0.986111111111111,81
0.0168504787178463,0.949152542372881,0.949884792626728,82
0.0245968882312941,0.847457627118644,0.838690476190476,83
0.0395269268390001,0.864406779661017,0.858391608391608,84
0.00421765906390307,0.932203389830508,0.925925925925926,85
0.00242148507601202,0.915254237288136,0.910588235294118,86
0.00312154720009095,0.847457627118644,0.851764705882353,87
0.00354368671879058,0.949152542372881,0.931818181818182,88
0.0190902111995466,0.847457627118644,0.846198156682028,89
0.0332551729095634,0.915254237288136,0.907925407925408,90
0.00378949228134379,0.949152542372881,0.948275862068966,91
0.00399215118569605,0.88135593220339,0.865384615384615,92
0.0264922445431832,0.949152542372881,0.934782608695652,93
0.0184226462293153,0.88135593220339,0.880459770114942,94
0.00232965187481879,0.915254237288136,0.919354838709677,95
0.0308792055864152,0.88135593220339,0.886470588235294,96
0.0168809921540006,0.932203389830508,0.939393939393939,97
0.0100823776294478,0.915254237288136,0.921176470588235,98
0.0208251062491983,0.898305084745763,0.898041474654378,99
0.025101882379863,0.915254237288136,0.916091954022989,100
